Country,Latitude,Longitude
Afghanistan,33.9391,67.7100
Albania,41.1533,20.1683
Algeria,28.0339,1.6596
Andorra,42.5078,1.5211
Angola,-11.2027,17.8739
Armenia,40.0691,45.0382
Azerbaijan,40.1431,47.5769
Bahrain,26.0667,50.5577
Barbados,13.1939,-59.5432
Belarus,53.7098,27.9534
Belize,17.1899,-88.4976
Benin,9.3077,2.3158
Bhutan,27.5142,90.4336
Bolivia,-16.2902,-63.5887
Bosnia and Herzegovina,43.9159,17.6791
Botswana,-22.3285,24.6849
Brunei,4.5353,114.7277
Bulgaria,42.7339,25.4858
Burkina Faso,12.2383,-1.5616
Burundi,-3.3731,29.9189
Cambodia,12.5657,104.9910
Cameroon,7.3697,12.3547
Cape Verde,16.5388,-23.0418
Central African Republic,6.6111,20.9394
Chad,15.4542,18.7322
Comoros,-11.6455,43.3333
Costa Rica,9.7489,-83.7534
Croatia,45.1000,15.2000
Cuba,21.5218,-77.7812
Cyprus,35.1264,33.4299
Democratic Republic of the Congo,-4.0383,21.7587
Djibouti,11.8251,42.5903
Dominica,15.4150,-61.3710
Dominican Republic,18.7357,-70.1627
Ecuador,-1.8312,-78.1834
El Salvador,13.7942,-88.8965
Equatorial Guinea,1.6508,10.2679
Eritrea,15.1794,39.7823
Estonia,58.5953,25.0136
Eswatini,-26.5225,31.4659
Fiji,-17.7134,178.0650
Gabon,-0.8037,11.6094
Gambia,13.4432,-15.3101
Georgia,42.3154,43.3569
Ghana,7.9465,-1.0232
Guatemala,15.7835,-90.2308
Guinea,9.9456,-9.6966
Guinea-Bissau,11.8037,-15.1804
Haiti,18.9712,-72.2852
Honduras,13.7942,-88.8965
Hungary,47.1625,19.5033
Iceland,64.9631,-19.0208
Jamaica,18.1096,-77.2975
Jordan,30.5852,36.2384
Kazakhstan,48.0196,66.9237
Kenya,-0.0236,37.9062
Kuwait,29.3759,47.9774
Kyrgyzstan,41.2044,74.7661
Laos,19.8563,102.4955
Latvia,56.8796,24.6032
Lebanon,33.8547,35.8623
Lesotho,-29.6099,28.2336
Liberia,6.4281,-9.4295
Libya,26.3351,17.2283
Liechtenstein,47.1660,9.5554
Lithuania,55.1694,23.8813
Luxembourg,49.8153,6.1296
Madagascar,-18.7669,46.8691
Malawi,-13.2543,34.3015
Maldives,3.2028,73.2207
Mali,17.5707,-3.9962
Malta,35.9375,14.3754
Mauritania,21.0079,-10.9408
Mauritius,-20.3484,57.5522
Moldova,47.4116,28.3699
Monaco,43.7384,7.4246
Mongolia,46.8625,103.8467
Montenegro,42.7087,19.3744
Morocco,31.7917,-7.0926
Mozambique,-18.6657,35.5296
Namibia,-22.9576,18.4904
Nepal,28.3949,84.1240
Nicaragua,12.8654,-85.2072
Niger,17.6078,8.0817
North Korea,40.3399,127.5101
North Macedonia,41.9981,21.4254
Oman,21.4735,55.9754
Panama,8.5380,-80.7821
Papua New Guinea,-6.3149,143.9555
Paraguay,-23.4425,-58.4438
Qatar,25.3548,51.1839
Republic of the Congo,-0.2280,15.8277
Romania,45.9432,24.9668
Rwanda,-1.9403,29.8739
San Marino,43.9333,12.4500
Senegal,14.4974,-14.4524
Serbia,44.0165,21.0059
Seychelles,-4.6796,55.4920
Sierra Leone,8.4606,-11.7799
Slovakia,48.6690,19.6990
Slovenia,46.1512,14.9955
Solomon Islands,-9.6457,160.1562
Somalia,5.1521,46.1996
Sri Lanka,7.8731,80.7718
Sudan,12.8628,30.2176
Suriname,3.9193,-56.0278
Syria,34.8021,38.9968
Tajikistan,38.8610,71.2761
Tanzania,-6.3690,34.8888
Togo,8.6195,0.8248
Trinidad and Tobago,10.6918,-61.2225
Tunisia,33.8869,9.5375
Turkmenistan,38.9697,59.5563
Tuvalu,-7.1095,177.6493
Uganda,1.3733,32.2903
United Arab Emirates,23.4241,53.8478
Uruguay,-32.5228,-55.7658
Uzbekistan,41.3775,64.5853
Yemen,15.5527,48.5164
Zambia,-13.1339,27.8493
Zimbabwe,-19.0154,29.1549
