Entity,Code,Day,"Cumulative change in mass in the ice sheets, according to NASA/JPL"
Antarctica,ATA,2002-04-16,0
Antarctica,ATA,2002-05-08,19.48
Antarctica,ATA,2002-08-14,-58.91
Antarctica,ATA,2002-09-16,47.16
Antarctica,ATA,2002-10-15,63.42
Antarctica,ATA,2002-11-13,-67.41
Antarctica,ATA,2002-12-16,-49.02
Antarctica,ATA,2003-01-15,-48.42
Antarctica,ATA,2003-02-13,-199.36
Antarctica,ATA,2003-03-14,-170.58
Antarctica,ATA,2003-04-16,-43.24
Antarctica,ATA,2003-05-12,0.79
Antarctica,ATA,2003-07-16,-127.98
Antarctica,ATA,2003-08-14,-121.67
Antarctica,ATA,2003-09-16,-130.28
Antarctica,ATA,2003-10-15,-47.47
Antarctica,ATA,2003-11-13,-106.66
Antarctica,ATA,2003-12-16,-272.18
Antarctica,ATA,2004-01-08,-329.2
Antarctica,ATA,2004-02-17,-491.31
Antarctica,ATA,2004-03-17,-340.3
Antarctica,ATA,2004-04-15,-386.05
Antarctica,ATA,2004-05-14,-155.49
Antarctica,ATA,2004-06-16,-187.95
Antarctica,ATA,2004-07-15,-313.33
Antarctica,ATA,2004-08-13,-165.84
Antarctica,ATA,2004-09-15,-160.77
Antarctica,ATA,2004-10-14,-85.93
Antarctica,ATA,2004-11-12,-226
Antarctica,ATA,2004-12-15,-305.46
Antarctica,ATA,2005-01-15,-393.93
Antarctica,ATA,2005-02-13,-454.97
Antarctica,ATA,2005-03-14,-405.23
Antarctica,ATA,2005-04-16,-251.37
Antarctica,ATA,2005-05-15,-228.44
Antarctica,ATA,2005-06-17,-203.53
Antarctica,ATA,2005-07-16,-158.73
Antarctica,ATA,2005-08-14,-208.9
Antarctica,ATA,2005-09-16,-112.4
Antarctica,ATA,2005-10-15,-105.47
Antarctica,ATA,2005-11-13,-58.46
Antarctica,ATA,2005-12-16,-159.09
Antarctica,ATA,2006-01-15,-224.74
Antarctica,ATA,2006-02-13,-317.94
Antarctica,ATA,2006-03-14,-182.87
Antarctica,ATA,2006-04-16,-158.2
Antarctica,ATA,2006-05-15,-80.91
Antarctica,ATA,2006-06-13,-48.72
Antarctica,ATA,2006-07-16,-98.35
Antarctica,ATA,2006-08-14,-8.54
Antarctica,ATA,2006-09-16,-20.02
Antarctica,ATA,2006-10-15,-96.06
Antarctica,ATA,2006-11-13,-89.3
Antarctica,ATA,2006-12-16,-234.2
Antarctica,ATA,2007-01-15,-438.79
Antarctica,ATA,2007-02-13,-429.59
Antarctica,ATA,2007-03-14,-361.06
Antarctica,ATA,2007-04-16,-336.29
Antarctica,ATA,2007-05-15,-179.53
Antarctica,ATA,2007-06-13,-191.34
